Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2024-05-03 19:30:00+00:00,5,49,-44,No Signal,17891.2793
2024-05-06 13:30:00+00:00,3,49,-46,No Signal,17994.79297
2024-05-06 14:30:00+00:00,3,44,-41,No Signal,17992.58398
2024-05-06 15:30:00+00:00,4,41,-37,No Signal,17982.09375
2024-05-06 16:30:00+00:00,4,41,-37,No Signal,18005.51758
2024-05-06 17:30:00+00:00,5,42,-37,No Signal,18038.77148
2024-05-06 18:30:00+00:00,9,38,-29,No Signal,18035.29297
2024-05-06 19:30:00+00:00,6,40,-34,No Signal,18093.48047
2024-05-07 13:30:00+00:00,6,32,-26,No Signal,18083.70117
2024-05-07 14:30:00+00:00,4,38,-34,No Signal,18139.6543
2024-05-07 15:30:00+00:00,8,33,-25,No Signal,18150.27539
2024-05-07 16:30:00+00:00,5,35,-30,No Signal,18147.11328
2024-05-07 17:30:00+00:00,8,19,-11,No Signal,18079.07813
